Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,280,-7.5,
,,,2400,-2.0,
,,,460,3.5,
,,,1460,-8.0,
,,,2200,-11.0,
,,,10790,-11.0,
,,,4530,-6.0,
,,,1260,-6.0,
,,,12410,1.0,
,,,7580,-7.5,
,,,200,-6.5,
,,,2320,-4.0,
,,,4330,5.5,
,,,1200,-8.0,
,,,1690,-17.0,
,,,680,-5.0,
,,,7060,21.5,
,,,10080,-4.5,
,,,1340,-12.5,
,,,830,-8.0,
,,,8170,-11.0,
,,,6800,-7.5,
,,,2090,-1.0,
,,,2230,2.5,
,,,10740,1.5,
,,,4140,-10.5,
,,,1970,-5.0,
,,,1210,-7.5,
,,,3710,-2.0,
,,,3920,-8.0,
,,,1660,-5.5,
,,,5980,-2.5,
,,,2010,-15.5,
,,,3050,-3.5,
,,,2870,-8.5,
,,,2080,-7.5,
,,,1590,-4.5,
,,,2330,-8.0,
,,,1760,-6.5,
,,,4220,-8.0,
,,,10290,-6.5,
,,,3180,-6.5,
,,,1040,6.5,
,,,2560,-13.5,
,,,2590,-5.5,
,,,1330,-3.0,
,,,300,-9.5,
,,,3190,-6.5,
,,,1160,-7.0,
,,,1560,-7.5,
,,,1640,-5.5,
,,,150,-3.0,
,,,230,-7.5,
,,,810,-5.5,
,,,2630,1.5,
,,,540,-1.5,
,,,2420,-10.0,
,,,2210,-12.0,
,,,3190,-4.5,
,,,850,-8.0,
,,,4850,-6.0,
,,,910,-7.0,
,,,8430,-6.0,
,,,740,-13.5,
,,,3750,-3.0,
,,,3010,-17.0,
,,,5680,-4.0,
,,,430,-9.0,
,,,260,10.5,
,,,5090,-4.0,
,,,170,-8.0,
,,,1780,-7.0,
,,,5150,-9.0,
,,,14690,3.0,
,,,2750,-11.0,
,,,3240,-3.5,
,,,180,-5.5,
,,,2880,-8.0,
,,,1010,-7.5,
,,,14720,-8.0,
,,,2280,-7.5,
,,,4260,-1.5,
,,,2120,-31.0,
,,,2550,-5.0,
,,,500,-6.0,
,,,3330,-7.0,
,,,530,-3.5,
,,,2500,7.5,
,,,5930,-10.5,
,,,1330,-5.5,
,,,370,-8.0,
,,,790,-4.0,
,,,360,-3.0,
,,,1800,-16.5,
,,,4310,-4.0,
